institution,pslf_class,evidence,ein,propublica_match,subsec_code,ntee_code,state,original_class
Kirk Kerkorian SOM at UNLV,no_propublica_match,no ProPublica result,,,,,NV,pslf_friendly
Sunrise Health GME Consortium,no_propublica_match,no ProPublica result,,,,,NV,ambiguous
Valley Health System,pslf_eligible_501c3,ProPublica match: Value Valley Nonprofit Corporation (501c3),994184768,Value Valley Nonprofit Corporation,3.0,T50,NV,pslf_friendly
Valley Hosp Med Ctr,pslf_eligible_501c3,ProPublica match: Value Valley Nonprofit Corporation (501c3),994184768,Value Valley Nonprofit Corporation,3.0,T50,NV,pslf_friendly
Cheshire Med Ctr/Dartmouth Health,no_propublica_match,no ProPublica result,,,,,NH,pslf_friendly
Concord Hospital,pslf_eligible_501c3,ProPublica match: Concord Community Concert Association (501c3),20375137,Concord Community Concert Association,3.0,A680,NH,ambiguous
Dartmouth-Hitchcock Med Ctr,pslf_eligible_501c3,ProPublica match: Dartmouth Hitchcock Clinic (501c3),222519596,Dartmouth Hitchcock Clinic,3.0,E320,NH,pslf_friendly
Portsmouth Regional Hosp,pslf_eligible_501c3,ProPublica match: Portsmouth Catholic Regional (501c3),540556805,Portsmouth Catholic Regional,3.0,,NH,ambiguous
AHS Morristown Med Ctr,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
AHS Overlook Hospital,no_propublica_match,no ProPublica result,,,,,NJ,ambiguous
AtlantiCare Reg Med Ctr,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
Atlantic Health System,pslf_eligible_501c3,ProPublica match: Vision Atlantic Inc (501c3),920683551,Vision Atlantic Inc,3.0,L20,NJ,pslf_friendly
CMSRU/Cooper University Hospital,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
Capital Health Reg Med Ctr,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
CarePoint Health,pslf_eligible_501c3,ProPublica match: Carepoint Health Foundation Inc (501c3),452486602,Carepoint Health Foundation Inc,3.0,E32,NJ,ambiguous
Englewood Hosp,pslf_eligible_501c3,ProPublica match: Act Englewood (501c3),841197173,Act Englewood,3.0,,NJ,ambiguous
HMH-Palisades Med Ctr,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
Hackensack U Med Ctr,pslf_eligible_501c3,ProPublica match: Hackensack University Health Network Inc (501c3),222595857,Hackensack University Health Network Inc,3.0,,NJ,pslf_friendly
Hunterdon Med Ctr,pslf_eligible_501c3,ProPublica match: North Hunterdon (501c3),912128413,North Hunterdon,3.0,,NJ,pslf_friendly
ISMMS Valley Health System,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
Inspira Health Network,pslf_eligible_501c3,ProPublica match: Inspira Health Network Inc (501c3),222508425,Inspira Health Network Inc,3.0,E21,NJ,ambiguous
JFK Med Ctr,pslf_eligible_501c3,ProPublica match: Jfk Booster Club (501c3),364758386,Jfk Booster Club,3.0,B11,NJ,pslf_friendly
Jersey Shore Univ Med Ctr,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
Mountainside Hosp,pslf_eligible_501c3,ProPublica match: Mountainside Rescue Squad Borough Of Mountainside Nj (501c3),222895874,Mountainside Rescue Squad Borough Of Mountainside Nj,3.0,M24,NJ,ambiguous
NYMC-St Marys and St Clares,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
NYMC-St Michaels Med Ctr,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
New Bridge Med Ctr,pslf_eligible_501c3,ProPublica match: New Bridge (501c3),934171080,New Bridge,3.0,P7A,NJ,pslf_friendly
Ocean University Med Ctr,pslf_eligible_501c3,ProPublica match: Trustees Of Princeton University (501c3),521593034,Trustees Of Princeton University,3.0,,NJ,pslf_friendly
Rowan University SOM,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
Rutgers-Community Med Ctr,pslf_eligible_501c3,ProPublica match: Rutgers Community Christian Church (501c3),222327611,Rutgers Community Christian Church,3.0,,NJ,pslf_friendly
Rutgers-Cooperman Barnabas Med Ctr,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
Rutgers-Jersey City Med Ctr,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
Rutgers-Monmouth Med Ctr,pslf_eligible_501c3,ProPublica match: Rutgers The State University Of Nj (501c3),331194126,Rutgers The State University Of Nj,3.0,O52,NJ,pslf_friendly
Rutgers-Newark Beth Israel Med Ctr,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
Rutgers-R W Johnson Medical School,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
Rutgers-RWJUH Somerset,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
Rutgers-Trinitas Med Ctr,no_propublica_match,no ProPublica result,,,,,NJ,pslf_friendly
St Francis Med Ctr,pslf_eligible_501c3,ProPublica match: St Francis Church (501c3),930546642,St Francis Church,3.0,,NJ,pslf_friendly
St Josephs Univ Med Ctr,pslf_eligible_501c3,ProPublica match: St Josephs University (501c3),111733439,St Josephs University,3.0,B420,NJ,pslf_friendly
St Lukes Warren Hospital,pslf_eligible_501c3,ProPublica match: St Lukes Warren Hospital Inc (501c3),221494454,St Lukes Warren Hospital Inc,3.0,E220,NJ,ambiguous
St Peters University Hosp,pslf_eligible_501c3,ProPublica match: Trustees Of Purdue University (501c3),208617809,Trustees Of Purdue University,3.0,O52,NJ,pslf_friendly
Virtua Health,pslf_eligible_501c3,ProPublica match: Virtua Health Inc (501c3),223524939,Virtua Health Inc,3.0,E220,NJ,ambiguous
Hidalgo Medical Services,pslf_eligible_501c3,ProPublica match: Hidalgo Medical Services (501c3),850292834,Hidalgo Medical Services,3.0,,NM,ambiguous
Memorial Med Ctr,pslf_eligible_501c3,ProPublica match: Memorial Hospital (501c3),381358208,Memorial Hospital,3.0,E220,NM,pslf_friendly
MountainView Reg Med Ctr,no_propublica_match,no ProPublica result,,,,,NM,pslf_friendly
Rehoboth McKinley CHCS,no_propublica_match,no ProPublica result,,,,,NM,ambiguous
Albany Med Ctr,pslf_eligible_501c3,ProPublica match: Albany Historical Society Albany Ca (501c3),205139665,Albany Historical Society Albany Ca,3.0,A80,NY,pslf_friendly
Arnot Ogden Med Ctr,pslf_eligible_501c3,ProPublica match: Arnot Ogden Auxiliary (501c3),510192902,Arnot Ogden Auxiliary,3.0,E22I,NY,pslf_friendly
Bassett Med Ctr,pslf_eligible_501c3,ProPublica match: All Bassets Cherished Basset Hound Rescue (501c3),161597137,All Bassets Cherished Basset Hound Rescue,3.0,D60,NY,pslf_friendly
BronxCare Health System,pslf_eligible_501c3,ProPublica match: Bronxcare Health System (501c3),131974191,Bronxcare Health System,3.0,E220,NY,pslf_friendly
Brooklyn Hosp Ctr,pslf_eligible_501c3,ProPublica match: New Millennium Academy (501c3),421625836,New Millennium Academy,3.0,B20,NY,ambiguous
Burke Rehabilitation Hosp,pslf_eligible_501c3,ProPublica match: Burke Rehabilitation Hospital (501c3),131739937,Burke Rehabilitation Hospital,3.0,E20,NY,ambiguous
Cayuga Med Ctr,pslf_eligible_501c3,ProPublica match: Cayuga Ball League (501c3),990433926,Cayuga Ball League,3.0,N63,NY,pslf_friendly
Community Healthcare Network,pslf_eligible_501c3,ProPublica match: Restorative Community Network (501c3),821305081,Restorative Community Network,3.0,I51,NY,pslf_friendly
Coney Island Hospital,pslf_eligible_501c3,ProPublica match: Coney Island Usa (501c3),133215645,Coney Island Usa,3.0,A6GZ,NY,ambiguous
Creedmoor Psych Ctr,pslf_unclear_other_subsec,ProPublica: subsec=None,116076065,Civil Service Employees Association Csea Local 0406 Creedmoor Psych Ctr,,,NY,ambiguous
Ellis Hospital,pslf_eligible_501c3,ProPublica match: Ellise Ellie Helene Brown Foundation Inc (501c3),462180101,Ellise Ellie Helene Brown Foundation Inc,3.0,H98,NY,ambiguous
Family Health Ctrs at NYU Langone,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Flushing Hospital Med Ctr,pslf_eligible_501c3,ProPublica match: Flushing Meditation Inc (501c3),10583188,Flushing Meditation Inc,3.0,X99,NY,pslf_friendly
Garnet Health Med Ctr,pslf_eligible_501c3,ProPublica match: Garnet Health (501c3),61488219,Garnet Health,3.0,E80Z,NY,pslf_friendly
Good Samaritan Hosp Med Ctr,pslf_eligible_501c3,ProPublica match: Good Samaritan (501c3),383401779,Good Samaritan,3.0,X21,NY,pslf_friendly
Good Samaritan Univ Hosp,pslf_eligible_501c3,ProPublica match: Good Samaritan Theological University (501c3),820670901,Good Samaritan Theological University,3.0,B60,NY,pslf_friendly
Harlem Hospital Ctr,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
Hosp For Special Surgery,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
ISMMS Mount Sinai Beth Israel,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
ISMMS Mount Sinai Hospital,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
ISMMS Mount Sinai Morningside-West,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
ISMMS Mount Sinai South Nassau,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
ISMMS NYC Health+Hospitals/Elmhurst,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
ISMMS NYC Health+Hospitals/Queens,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Institute for Family Health,pslf_eligible_501c3,ProPublica match: The Institute For Family Health (501c3),133273402,The Institute For Family Health,3.0,E320,NY,pslf_friendly
Jacobi Med Ctr/Einstein,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Jamaica Hosp Med Ctr,pslf_eligible_501c3,ProPublica match: Professional Jamaicans For Jamaica (501c3),272951368,Professional Jamaicans For Jamaica,3.0,Q30,NY,pslf_friendly
Lincoln Med Ctr,pslf_eligible_501c3,ProPublica match: Lincoln (501c3),941156501,Lincoln,3.0,F33Z,NY,pslf_friendly
Long Island Community Hosp,pslf_eligible_501c3,ProPublica match: Long Island Community Library (501c3),481022217,Long Island Community Library,3.0,,NY,ambiguous
Maimonides Med Ctr,pslf_eligible_501c3,ProPublica match: Maimonides Way (501c3),813711143,Maimonides Way,3.0,X30,NY,pslf_friendly
Memorial Sloan-Kettering,pslf_eligible_501c3,ProPublica match: Memorial Sloan Kettering Cancer Center (501c3),131924236,Memorial Sloan Kettering Cancer Center,3.0,E120,NY,pslf_friendly
Mohawk Valley Health Sys,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
Montefiore Med Ctr/Einstein,pslf_eligible_501c3,ProPublica match: Montefiore Einstein Inc (501c3),471582973,Montefiore Einstein Inc,3.0,E21,NY,pslf_friendly
Montefiore St Lukes Cornwall,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
Montefiore-New Rochelle/Einstein,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
NYCOMEC,pslf_eligible_501c3,ProPublica match: Nycomec Corp (501c3),113302750,Nycomec Corp,3.0,B90Z,NY,ambiguous
NYMC-Metropolitan Hosp Ctr,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
NYMC-St Josephs Med Ctr,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
NYMC-Westchester/Metropolitan,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
NYP Brooklyn Methodist Hosp,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
NYP Hosp-Columbia & Cornell,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
NYP Hosp-Columbia Univ Med Ctr,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
NYP Hosp-Weill Cornell Med Ctr,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
NYU Grossman Long Island SOM,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
NYU Grossman School Of Medicine,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Nassau Univ Med Ctr,pslf_eligible_501c3,ProPublica match: South Nassau University Health System Inc (501c3),66427908,South Nassau University Health System Inc,3.0,E99Z,NY,pslf_friendly
Niagara Falls Mem Med Ctr,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Nuvance Health Consortium,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
Nuvance Health,pslf_eligible_501c3,ProPublica match: Nuvance Health (501c3),834214573,Nuvance Health,3.0,E11,NY,ambiguous
OBH Brookdale Univ Hosp Med Ctr,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
OBH Interfaith Med Ctr,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
OBH Kingsbrook Jewish Med Ctr,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Our Lady Of Lourdes,pslf_eligible_501c3,ProPublica match: Our Lady Of Lourdes (501c3),752806959,Our Lady Of Lourdes,3.0,,NY,ambiguous
Richmond Univ Med Ctr,pslf_eligible_501c3,ProPublica match: University Of Richmond (501c3),540505965,University Of Richmond,3.0,B430,NY,pslf_friendly
Rochester Gen Hosp,pslf_eligible_501c3,ProPublica match: Rochester General Hospital (501c3),160743134,Rochester General Hospital,3.0,E220,NY,ambiguous
Rochester Regional Health/Unity Hosp,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
SUNY HSC Brooklyn,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
Samaritan Med Ctr,pslf_eligible_501c3,ProPublica match: Samaritans (501c3),640900404,Samaritans,3.0,,NY,pslf_friendly
South Brooklyn Health.,pslf_eligible_501c3,ProPublica match: South Brooklyn Health Auxlliary Inc (501c3),111704587,South Brooklyn Health Auxlliary Inc,3.0,E22I,NY,ambiguous
St Barnabas Hosp,pslf_eligible_501c3,ProPublica match: St Barnabas (501c3),521322628,St Barnabas,3.0,,NY,ambiguous
St Elizabeth Med Ctr,pslf_eligible_501c3,ProPublica match: St Elizbeth Parish (501c3),42182437,St Elizbeth Parish,3.0,,NY,pslf_friendly
St Johns Riverside Hospital,pslf_eligible_501c3,ProPublica match: St Johns Riverside Hospital (501c3),131740126,St Johns Riverside Hospital,3.0,E220,NY,ambiguous
St Josephs Health,pslf_eligible_501c3,ProPublica match: St Josephs Health Fund (501c3),133833645,St Josephs Health Fund,3.0,Z99,NY,ambiguous
Stony Brook Teach Hosps,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
Syracuse Community Health,pslf_eligible_501c3,ProPublica match: Syracuse Community Health Center Inc (501c3),161080039,Syracuse Community Health Center Inc,3.0,,NY,ambiguous
U Rochester/Strong Memorial,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
UHS-Wilson Med Ctr,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
UVM Health Network CVPH,no_propublica_match,no ProPublica result,,,,,NY,ambiguous
University at Buffalo SOM,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Westchester Medical Ctr,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Woodhull Med Ctr,pslf_eligible_501c3,ProPublica match: Woodhill (501c3),900667554,Woodhill,3.0,K20,NY,pslf_friendly
Wyckoff Heights Med Ctr,pslf_eligible_501c3,ProPublica match: Wyckoff Heights Medical Center (501c3),111631837,Wyckoff Heights Medical Center,3.0,E21,NY,pslf_friendly
Zucker SOM Northern Westchester Med Ctr,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Zucker SOM-Northwell Cohen Childrens,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Zucker SOM-Northwell Forest Hills Hosp,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Zucker SOM-Northwell Glen Cove Hosp,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Zucker SOM-Northwell Huntington Hosp,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Zucker SOM-Northwell Lenox Hill Hosp,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Zucker SOM-Northwell Mather Hosp,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Zucker SOM-Northwell NS/LIJ,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Zucker SOM-Northwell Peconic Bay,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Zucker SOM-Northwell Phelps Hosp,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Zucker SOM-Northwell Plainview Hosp,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Zucker SOM-Northwell South Shore,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Zucker SOM-Northwell Staten Island Univ,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Zucker SOM-Northwell Zucker Hillside,no_propublica_match,no ProPublica result,,,,,NY,pslf_friendly
Atrium Health Cabarrus,no_propublica_match,no ProPublica result,,,,,NC,ambiguous
Campbell University,pslf_eligible_501c3,ProPublica match: Campbell University (501c3),560529940,Campbell University,3.0,B430,NC,pslf_friendly
Cape Fear Valley Health,pslf_eligible_501c3,ProPublica match: Methodist University Cape Fear Valley Health School Of Medic (501c3),993705462,Methodist University Cape Fear Valley Health School Of Medicine I,3.0,B11,NC,ambiguous
Carolinas Med Ctr,pslf_eligible_501c3,ProPublica match: Conference Carolinas (501c3),561947422,Conference Carolinas,3.0,N70,NC,pslf_friendly
Cone Health,pslf_eligible_501c3,ProPublica match: Cone Health Philanthropic Foundation (501c3),581681560,Cone Health Philanthropic Foundation,3.0,,NC,ambiguous
Duke Univ Med Ctr,pslf_eligible_501c3,ProPublica match: Duke University (501c3),560532129,Duke University,3.0,B430,NC,pslf_friendly
ECU Health Med Ctr,pslf_eligible_501c3,ProPublica match: Ecu Health Care Inc (501c3),223298358,Ecu Health Care Inc,3.0,E00L,NC,pslf_friendly
Iredell Health System,pslf_eligible_501c3,ProPublica match: Iredell Isd Pto (501c3),920651961,Iredell Isd Pto,3.0,B94,NC,pslf_friendly
Mountain AHEC,no_propublica_match,no ProPublica result,,,,,NC,ambiguous
New Hanover Reg Med Ctr,pslf_unclear_other_subsec,ProPublica: subsec=5,237084045,New Jersey Education Association,5.0,,NC,pslf_friendly
Novant Health,pslf_eligible_501c3,ProPublica match: Novant Health Inc (501c3),561376950,Novant Health Inc,3.0,E22,NC,ambiguous
Southern Regional AHEC,no_propublica_match,no ProPublica result,,,,,NC,ambiguous
UNC Health Blue Ridge,no_propublica_match,no ProPublica result,,,,,NC,ambiguous
Wake Forest Baptist Med Ctr,pslf_eligible_501c3,ProPublica match: Wake Forest Baptist Church (501c3),566015011,Wake Forest Baptist Church,3.0,X20,NC,pslf_friendly
WakeMed Health and Hospitals,no_propublica_match,no ProPublica result,,,,,NC,pslf_friendly
Womack Army Med Ctr,pslf_eligible_gov,keyword: Army Med,,,,,NC,pslf_friendly
Altru Health System,pslf_eligible_501c3,ProPublica match: Altru Alliance (501c3),237389089,Altru Alliance,3.0,E22I,ND,pslf_friendly
Adena Health System,pslf_eligible_501c3,ProPublica match: Adena Historical Society (501c3),882973634,Adena Historical Society,3.0,A80,OH,pslf_friendly
Akron Children's,pslf_eligible_501c3,ProPublica match: Akron Childrens Museum (501c3),463118462,Akron Childrens Museum,3.0,,OH,pslf_friendly
Akron General Med Ctr,pslf_eligible_501c3,ProPublica match: Akron General Foundation (501c3),341127047,Akron General Foundation,3.0,E30J,OH,pslf_friendly
Aultman Hospital/NEOMED,no_propublica_match,no ProPublica result,,,,,OH,ambiguous
Bethesda Hospital,pslf_eligible_gov,keyword: Bethesda,,,,,OH,pslf_friendly
Canton Med Ed Fdn/NEOMED,no_propublica_match,no ProPublica result,,,,,OH,ambiguous
Case Western/Univ Hosps Cleveland Med Ctr,no_propublica_match,no ProPublica result,,,,,OH,pslf_friendly
Christ Hospital,pslf_eligible_501c3,ProPublica match: Christ Life Church Corpus Christi (501c3),923025782,Christ Life Church Corpus Christi,3.0,X20,OH,ambiguous
Cincinnati Childrens Hosp Med Ctr,pslf_eligible_501c3,ProPublica match: Childrens Theatre Of Cincinnati (501c3),316026285,Childrens Theatre Of Cincinnati,3.0,A65Z,OH,pslf_friendly
Cleveland Clinic Fdn,no_propublica_match,no ProPublica result,,,,,OH,pslf_friendly
East Liverpool City Hosp,pslf_eligible_501c3,ProPublica match: East Liverpool City Hospital Auxiliary Incorporated (501c3),341682108,East Liverpool City Hospital Auxiliary Incorporated,3.0,,OH,ambiguous
Fairfield Med Ctr,pslf_eligible_501c3,ProPublica match: Fairfield (501c3),912128658,Fairfield,3.0,,OH,pslf_friendly
Firelands Regional Med Ctr,pslf_eligible_501c3,ProPublica match: Firelands Regional Medical Center (501c3),344428218,Firelands Regional Medical Center,3.0,E220,OH,pslf_friendly
Good Samaritan Hosp-Cinn,pslf_eligible_501c3,ProPublica match: Good Samaritan (501c3),383401779,Good Samaritan,3.0,X21,OH,ambiguous
Jewish Hospital,pslf_eligible_501c3,ProPublica match: Jewish Home (501c3),940545320,Jewish Home,3.0,P750,OH,ambiguous
Kettering Health Network,pslf_eligible_501c3,ProPublica match: Kettering Adventist Healthcare (501c3),311051688,Kettering Adventist Healthcare,3.0,,OH,ambiguous
Memorial Health System,pslf_eligible_501c3,ProPublica match: Memorial Hospital (501c3),381358208,Memorial Hospital,3.0,E220,OH,pslf_friendly
Mercy Health-Anderson Hosp,no_propublica_match,no ProPublica result,,,,,OH,ambiguous
Mercy Health-St Ritas Med Ctr,pslf_eligible_501c3,ProPublica match: Mount St Rita Health Centre (501c3),50342330,Mount St Rita Health Centre,3.0,,OH,pslf_friendly
Mercy St Vincent Med Ctr,pslf_eligible_501c3,ProPublica match: St Vincent Mercy Hospital Foundation Inc (501c3),311066871,St Vincent Mercy Hospital Foundation Inc,3.0,E22I,OH,pslf_friendly
Mount Carmel Health System,pslf_eligible_501c3,ProPublica match: Mount Carmel (501c3),371012545,Mount Carmel,3.0,,OH,pslf_friendly
Nationwide Childrens Hosp,pslf_eligible_501c3,ProPublica match: Nationwide Childrens Hospital Inc (501c3),314379441,Nationwide Childrens Hospital Inc,3.0,E240,OH,pslf_friendly
St Elizabeth Health Ctr-Boardman,no_propublica_match,no ProPublica result,,,,,OH,ambiguous
St Elizabeth Youngstown Hosp,pslf_unclear_other_subsec,ProPublica: subsec=6,850704832,St Elizabeth Youngstown Medical Staff,6.0,E03,OH,ambiguous
St Lukes Hospital,pslf_eligible_501c3,ProPublica match: St Lukes (501c3),810413591,St Lukes,3.0,,OH,ambiguous
St Vincent Charity Med Ctr,pslf_eligible_501c3,ProPublica match: St Vincent Charity Development Foundation (501c3),271602445,St Vincent Charity Development Foundation,3.0,,OH,pslf_friendly
Summa Health/NEOMED,no_propublica_match,no ProPublica result,,,,,OH,ambiguous
The MetroHealth Sys/Case Western,no_propublica_match,no ProPublica result,,,,,OH,ambiguous
Trinity Health System,pslf_eligible_501c3,ProPublica match: Trinity Ppal (501c3),208297469,Trinity Ppal,3.0,N65,OH,pslf_friendly
U Cincinnati Med Ctr,pslf_eligible_501c3,ProPublica match: Cincinnati Christian University (501c3),310643552,Cincinnati Christian University,3.0,B58Z,OH,pslf_friendly
U Cincinnati West Chester Hosp,no_propublica_match,no ProPublica result,,,,,OH,ambiguous
Univ Hosps Community Consortium,no_propublica_match,no ProPublica result,,,,,OH,pslf_friendly
University of Toledo,pslf_eligible_501c3,ProPublica match: The University Of Toledo Foundation (501c3),346555110,The University Of Toledo Foundation,3.0,B110,OH,pslf_friendly
Western Reserve Health Ed/NEOMED,no_propublica_match,no ProPublica result,,,,,OH,ambiguous
Western Reserve Hosp,pslf_eligible_501c3,ProPublica match: Western Reserve Academy (501c3),340714390,Western Reserve Academy,3.0,B250,OH,ambiguous
Wright State Univ Boonshoft SOM,no_propublica_match,no ProPublica result,,,,,OH,pslf_friendly
Griffin Memorial Hospital,pslf_eligible_501c3,ProPublica match: Daniel J Griffin Memorial (501c3),10691315,Daniel J Griffin Memorial,3.0,B82,OK,pslf_friendly
In His Image Family Med,no_propublica_match,no ProPublica result,,,,,OK,ambiguous
Integris Health,pslf_eligible_501c3,ProPublica match: Integris Health Inc (501c3),731192764,Integris Health Inc,3.0,E210,OK,ambiguous
OMECO,pslf_eligible_501c3,ProPublica match: Omeko Experience Foundation (501c3),824154026,Omeko Experience Foundation,3.0,P20,OK,ambiguous
St Anthony Hospital,pslf_eligible_501c3,ProPublica match: Church Of St Anthony   St Anthony Parish (501c3),881112330,Church Of St Anthony   St Anthony Parish,3.0,,OK,ambiguous
Legacy Emanuel/Good Samaritan,no_propublica_match,no ProPublica result,,,,,OR,ambiguous
Providence Health,pslf_eligible_501c3,ProPublica match: Providence Health Foundation (501c3),521275583,Providence Health Foundation,3.0,E22I,OR,ambiguous
Roseburg Family Medicine,no_propublica_match,no ProPublica result,,,,,OR,ambiguous
Samaritan Health Services-Corvallis,no_propublica_match,no ProPublica result,,,,,OR,pslf_friendly
Abington Mem Hosp,no_propublica_match,no ProPublica result,,,,,PA,ambiguous
Albert Einstein Healthcare Network,pslf_eligible_501c3,ProPublica match: Albert Einstein Healthcare Network (501c3),231396794,Albert Einstein Healthcare Network,3.0,E120,PA,pslf_friendly
Albert Einstein Med Ctr,pslf_eligible_501c3,ProPublica match: Albert Einstein Academies (501c3),870759939,Albert Einstein Academies,3.0,,PA,pslf_friendly
Allegheny Gen Hosp,pslf_eligible_501c3,ProPublica match: Allegheny General Hospital Auxillary (501c3),232993372,Allegheny General Hospital Auxillary,3.0,T30,PA,ambiguous
Allegheny Health Network St Vincent HC,no_propublica_match,no ProPublica result,,,,,PA,ambiguous
Bryn Mawr Hospital,pslf_eligible_501c3,ProPublica match: Bryn Mawr College (501c3),231352621,Bryn Mawr College,3.0,B420,PA,ambiguous
Butler Memorial Hospital,pslf_eligible_501c3,ProPublica match: Huddleston Butler Memorial Foundation (501c3),841348444,Huddleston Butler Memorial Foundation,3.0,T22Z,PA,pslf_friendly
Childrens Hosp-Philadelphia,pslf_eligible_501c3,ProPublica match: Childrens Fund (501c3),541946170,Childrens Fund,3.0,,PA,pslf_friendly
Clarion Hospital,pslf_eligible_501c3,ProPublica match: Clarion Hospital (501c3),251010039,Clarion Hospital,3.0,E220,PA,ambiguous
Conemaugh Memorial Med Ctr,no_propublica_match,no ProPublica result,,,,,PA,pslf_friendly
Cornerstone Care THC,no_propublica_match,no ProPublica result,,,,,PA,ambiguous
Crozer-Chester Med Ctr,pslf_eligible_501c3,ProPublica match: Crozer Chester Medical Center (501c3),231637191,Crozer Chester Medical Center,3.0,E20,PA,pslf_friendly
Delaware Valley Community Health,pslf_eligible_501c3,ProPublica match: Delaware Valley Community Health Inc (501c3),232077750,Delaware Valley Community Health Inc,3.0,,PA,ambiguous
Doylestown Hospital,pslf_eligible_501c3,ProPublica match: Doylestown Cares (501c3),822699215,Doylestown Cares,3.0,P82,PA,ambiguous
Excela Health Latrobe Hosp,pslf_eligible_501c3,ProPublica match: Excela Health (501c3),250965414,Excela Health,3.0,E220,PA,ambiguous
Forbes Family Medicine,no_propublica_match,no ProPublica result,,,,,PA,ambiguous
Geisinger Health System,pslf_eligible_501c3,ProPublica match: Geisinger Clinic (501c3),236291113,Geisinger Clinic,3.0,E30,PA,pslf_friendly
Guthrie/Robert Packer Hosp,pslf_eligible_501c3,ProPublica match: Donald & Emily Guthrie Fdn Fbo The Robert Packer Hospital (501c3),236632633,Donald & Emily Guthrie Fdn Fbo The Robert Packer Hospital,3.0,,PA,ambiguous
Heritage Valley Beaver,pslf_eligible_501c3,ProPublica match: Heritage Valley Beaver Foundation (501c3),251441516,Heritage Valley Beaver Foundation,3.0,,PA,ambiguous
JHME-Jefferson Einstein Montgomery,no_propublica_match,no ProPublica result,,,,,PA,ambiguous
JHME-Jefferson Einstein Philadelphia,no_propublica_match,no ProPublica result,,,,,PA,ambiguous
Jefferson Health-Northeast,pslf_eligible_501c3,ProPublica match: Jefferson Health Northeast (501c3),230596940,Jefferson Health Northeast,3.0,E220,PA,ambiguous
